1,27311965,0.994496,27311965,15.1508,12545,12546
100,135255832,3.93752,135255832,72.9707,23448,20518
11,3441022,0.072561,3441022,1.48738,3723,2950
12,4116182,0.089459,4116182,1.78508,4099,3255
13,5910505,0.127063,5910505,2.95585,4890,3918
14,59666797,0.176246,59666797,6.75125,15362,1686
15,229560946,0.447588,229560946,13.9807,30672,1955
16,1175112,0.03113,1175112,0.63461,2206,2207
17,4940565,0.121363,4940565,2.73678,4468,4469
18,5831918,0.168876,5831918,2.92755,4872,4873
19,17016133,0.246037,17016133,4.95036,8257,4221
2,94389982,2.43718,94389982,33.7269,20165,20166
20,391566,0.012575,391566,0.221567,1264,1265
21,708128,0.022601,708128,0.471173,1688,1689
22,2534183,0.049817,2534183,1.1801,3210,2140
23,5475720,0.107607,5475720,2.05077,4692,3128
24,7572597,0.136284,7572597,3.00422,5484,3656
25,448841,1.1016,448841,36.0509,20273,13571
26,676910,2.49942,676910,80.4379,30536,20435
27,202367,0.974867,202367,28.6628,15237,15315
28,272094,1.81644,272094,52.2023,20447,20493
29,83371842,2.68361,83371842,13.8201,18289,18290
3,1418292,0.058012,1418292,0.826596,2917,2918
30,97348523,3.0603,97348523,16.8982,19875,19876
31,426780,0.01403,426780,0.225023,1314,1314
32,547487,0.015793,547487,0.272317,1490,1490
33,841977,0.025066,841977,0.415397,1844,1844
34,42530236,1.48845,42530236,7.06044,13122,14869
35,114164973,3.97412,114164973,19.0411,21362,24209
36,994686,0.039059,994686,0.716788,1991,3147
37,43897763,0.333145,43897763,6.58948,13283,3161
38,40208129,0.32278,40208129,6.72885,12744,3321
39,24357064,0.321122,24357064,6.90754,9919,5080
4,18425,0.022092,18425,0.582751,2148,2069
40,31603996,0.426234,31603996,9.98305,11305,5803
41,88961443,1.17158,88961443,24.2549,19004,9600
42,21328714,0.280929,21328714,5.66682,9243,4690
43,42898257,0.555957,42898257,11.7849,13121,6642
45,1319706,0.009507,1319706,0.202334,2304,512
46,30872,4.1119,30872,128.877,33433,32154
47,1282,0.013018,1282,0.40131,1891,1588
48,1966,0.031113,1966,0.913099,2967,2468
49,780,0.005,780,0.157625,1189,986
5,99495,0.304023,99495,6.69737,7191,7064
50,1553,0.021654,1553,0.694623,2344,1950
51,1710,0.028446,1710,0.739871,2631,2172
52,4341918,0.117211,4341918,2.49292,4168,4169
53,787366,0.022603,787366,0.445009,1797,1798
54,1456805,0.03917,1456805,0.776053,2412,2413
55,2667114,0.072756,2667114,1.36728,3277,3278
56,1407452,0.039406,1407452,0.770613,2352,2353
57,2786126,0.108468,2786126,1.48381,4010,4012
58,4708814,0.158473,4708814,3.58732,5210,5212
59,5968988,0.188604,5968988,5.03914,5866,5868
6,15642,0.018773,15642,0.433355,1898,1819
60,2291107,0.057305,2291107,1.09566,3028,2914
61,698725,0.021065,698725,0.346937,1696,1605
62,1012929,0.0258,1012929,0.470292,2024,1850
63,742891,0.027608,742891,0.485202,1719,2386
64,1134284,0.054185,1134284,0.795987,2146,3115
65,139250,0.006041,139250,0.128825,763,1022
66,294123,0.013647,294123,0.271363,1074,2090
67,1191137,0.054446,1191137,0.891174,2158,3505
68,1317148,0.055321,1317148,1.10545,2310,3706
69,173120898,5.85078,173120898,56.1783,26294,33826
7,34033867,0.711306,34033867,11.4156,10973,10936
70,231595541,7.89467,231595541,76.8245,30514,39220
71,107896949,2.11711,107896949,35.3116,20924,17698
72,233688942,4.35508,233688942,74.8897,30611,24590
73,4941220,0.096388,4941220,1.91066,4427,2937
74,5346236,0.106337,5346236,1.99667,4610,3060
75,9319457,0.16813,9319457,3.32323,6024,3969
76,259579,0.008808,259579,0.170275,1025,1026
77,425673,0.0112,425673,0.216871,1298,1299
78,2241598,0.061049,2241598,1.10565,2973,2974
79,282993,0.009051,282993,0.156978,1063,1064
8,517041,0.015058,517041,0.290357,1581,1509
80,343443,0.010045,343443,0.181262,1173,1174
81,1562981,0.045266,1562981,0.820342,2506,2507
82,2723906,0.077039,2723906,1.51617,3313,3367
83,2955316,0.077863,2955316,1.66721,3466,3469
84,3095113,0.081065,3095113,1.63389,3549,3636
85,775186,0.018065,775186,0.349543,1759,1347
86,1837045,0.034351,1837045,0.855443,2700,1749
87,1745819,0.039116,1745819,0.687443,2630,1960
88,340985,0.040769,340985,1.28975,4051,2363
89,569661,0.068337,569661,2.22565,5157,3068
9,901085967,52.3646,901085967,1090.22,91183,91184
90,121881,0.017223,121881,0.50388,2532,1444
91,250274,0.037182,250274,0.938464,3335,2071
92,88652,0.009024,88652,0.266564,1705,1041
93,221425,0.017676,221425,0.501156,2389,1542
94,5619004,0.093,5619004,1.8393,4749,2729
95,3853843,0.077503,3853843,1.60348,3906,2892
96,1189668,0.053857,1189668,0.994452,2161,4102
97,2938205,0.05129,2938205,0.940045,3431,2290
98,6618338,0.112686,6618338,2.13057,5182,3455
99,86006719,2.47718,86006719,43.7755,18680,16346
