M1

M10,10,124074,1254.36,725,393,333,0.00553989,132515

M11,10,187815,3531.59,871,408,464,0.00460087,193330

M12,10,12485,4.95747,231,108,124,0.0172491,12120

M13,10,95056,32.4657,616,165,175,0.0213333,93472

M14,10,299530,414.488,1100,288,286,0.0133547,291720
M15

M16,10,17642,1.17477,258,86,86,0.0348837,14327
M17

M18,10,12153,8.75086,401,143,123,0.0227983,13953

M19,10,10476,12.8647,450,145,139,0.022327,16112

M2,10,9977,929.19,677,351,327,0.00589839,112898

M20,10,14223,51.6817,567,200,181,0.015663,19007

M21,10,3256,1.9411,198,89,101,0.0220269,3778

M22,10,2320,4.00121,196,95,123,0.0167736,4141

M23,10,2599,14.2665,265,120,163,0.0135481,7695

M24,10,465,248.03,425,255,261,0.0063857,15317

M25,10,879,289.772,611,287,254,0.00838157,20403

M26,10,641,512.293,670,260,329,0.00783259,24018

M27,10,5499,0.442014,144,72,72,0.0277778,4886

M28,10,12336,3.32452,214,107,107,0.0186916,12502

M29,10,41446,68.8576,398,199,199,0.0100503,38623

M3,10,657,0.0004116,59,14,20,0.210714,684

M30,10,7774,1.48793,184,92,92,0.0217391,8198
M31

M32,10,36437,57.6667,386,193,193,0.0103627,35752

M33,10,72804,24.3761,567,161,162,0.0217391,88373

M34,10,352429,563.449,1190,300,309,0.0128371,345837

M35,10,560077,1840.59,1488,392,384,0.0098852,503310

M36,10,1397,0.000741,80,16,16,0.3125,1506

M37,10,8960,0.0104383,192,32,32,0.1875,6918
M38

M39,10,36950,53.4304,377,186,192,0.0105567,37562

M4,10,4613,0.0035393,139,26,26,0.205621,4268
M40

M41,10,8450,0.105945,189,189,24,0.0416667,7829
M42

M43,10,16223,2.01825,284,284,48,0.0208333,17373

M44,10,723012,1705.93,1649,855,221,0.00872695,687586

M45,10,228504,643.099,968,462,241,0.00869393,223169

M46,10,334595,1701.83,1228,770,238,0.00670086,391719

M47,10,15800,7.95904,259,132,128,0.0153291,16801
M48

M49,10,45631,93.9307,422,206,217,0.00944029,49473

M5,10,14280,0.0116133,250,31,37,0.21796,14636

M50,10,48012,6.64961,440,123,125,0.0286179,45184

M51,10,64764,18.2876,520,150,154,0.0225108,63776

M52,10,174728,140.963,820,250,220,0.0149091,161620

M53,10,10834,3.31645,233,101,111,0.0207832,10544

M54,10,16198,7.60113,281,133,125,0.0169023,15581

M55,10,29055,32.9758,380,174,172,0.0126971,32067

M56,10,55351,131.732,504,235,224,0.00957447,56529

M57,10,72650,321.038,591,260,279,0.00814723,80028

M58,10,545,0.0006357,48,13,24,0.153846,550

M59,10,1072,0.0023645,64,17,32,0.117647,959

M6,10,23235,15.6834,294,143,152,0.0135259,22231

M60,10,20276,9.66283,288,121,144,0.0165289,18603

M7,10,51404,130.89,458,244,215,0.00873046,50110

M8,10,105357,742.868,653,346,308,0.00612754,110738

M9,10,128396,1211.69,718,375,344,0.00556589,131490
